step,score_value,n_cumul_links,num_total,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,reachability,F_value_2024,val_infeasible_day,val_total_day
1,2.400071968424024,1,10074017,10062920,11097,0,10074017,99.88984533180756,0.11015466819244,0.0,1.0,0.9999999491452342,0.0,1537.3871452015765
2,2.3552977019668937,3,10074017,10018618,48148,7251,10066766,99.45008034034487,0.47794241363698314,0.07197724601814748,0.9992802275398185,0.9992750420743374,0.5747034292177682,1537.3871452015765
3,2.298616138892689,9,10074017,9990289,71194,12534,10061483,99.1688717618801,0.7067091508779466,0.12441908724196118,0.9987558091275804,0.998750583317408,3.3989161723078682,1537.3871452015765
4,2.2976517854442893,14,10074017,9780178,272987,20852,10053165,97.08319928386064,2.7098127787554853,0.20698793738386587,0.9979301206261614,0.9979229102427174,5.4708666824195,1537.3871452015765
5,2.27620878323174,17,10074017,9762110,272966,38941,10035076,96.90384679716145,2.7096043216921313,0.38654888114641855,0.9961345111885358,0.9961273008051359,5.932768664928298,1537.3871452015765
6,2.193795926284008,20,10074017,9756334,272954,44729,10029288,96.84651117821222,2.709485203370215,0.44400361841755875,0.9955599638158245,0.9955527534346665,8.3654370842265,1537.3871452015765
7,2.161860338051649,23,10074017,9742618,272542,58857,10015160,96.71035893626147,2.705395474317742,0.5842455894207842,0.9941575441057922,0.9941503459626099,14.887837730655496,1537.3871452015765
8,2.161680668490468,25,10074017,9722940,270798,80279,9993738,96.51502474137179,2.68808361153252,0.7968916470956919,0.9920310835290431,0.9920238887241081,17.056362680486426,1537.3871452015765
9,2.152280981603276,26,10074017,9716050,270772,87195,9986822,96.44663097153797,2.687825521835034,0.8655435066269989,0.99134456493373,0.9913373701523784,18.074497546649617,1537.3871452015765
10,2.1360462814811125,28,10074017,9621678,354622,97717,9976300,95.50984478187797,3.520164796227761,0.9699904218942653,0.9903000957810574,0.9902921842244087,18.214776847300655,1537.3871452015765
11,2.134857428211302,30,10074017,9507839,468461,97717,9976300,94.37981889448866,4.650190683617072,0.9699904218942653,0.9903000957810574,0.9902903553599565,18.214776847300655,1537.3871452015765
12,2.1277926946380576,40,10074017,8863473,1107863,102681,9971336,87.98350250947561,10.997231789463925,1.0192657010604609,0.9898073429893954,0.9897893411724601,18.6336470138334,1537.3871452015765
13,2.114736219830032,46,10074017,8691343,1270995,111679,9962338,86.27484944684926,12.616565963706433,1.10858458944431,0.9889141541055569,0.9888937270361264,19.780992699740196,1537.3871452015765
14,2.113303512007815,47,10074017,8675942,1286396,111679,9962338,86.12197100719604,12.769444403359653,1.10858458944431,0.9889141541055569,0.9888937242749091,19.780992699740196,1537.3871452015765
15,2.1112119014079065,53,10074017,8671271,1272085,130661,9943356,86.07560420038998,12.627385877947198,1.2970099216628281,0.9870299007833717,0.9870104422741715,25.962530219870498,1537.3871452015765
16,2.104484986483527,59,10074017,8582272,1361084,130661,9943356,85.19215323936817,13.510836838969004,1.2970099216628281,0.9870299007833717,0.9870099615238398,25.962530219870498,1537.3871452015765
17,2.101664453033392,61,10074017,8388259,1555097,130661,9943356,83.26627799019994,15.436712088137233,1.2970099216628281,0.9870299007833717,0.9870090821712787,25.962530219870498,1537.3871452015765
18,2.09709678987773,63,10074017,8272508,1670848,130661,9943356,82.11727258351857,16.5857174948186,1.2970099216628281,0.9870299007833717,0.9870084386193144,25.962530219870498,1537.3871452015765
19,2.094331274419744,64,10074017,8221125,1722231,130661,9943356,81.60721785559822,17.095772222738955,1.2970099216628281,0.9870299007833717,0.9870077025354144,25.962530219870498,1537.3871452015765
