scenario_name,disruption_percentage,num_total_ods,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,pct_feasible,reachability,F_tons_2024,F_value_2024,F_tons_2050,F_value_2050,unaffected_tons_2024,delayed_tons_2024,infeasible_tons_2024,total_tons_2024,unaffected_value_2024,delayed_value_2024,infeasible_value_2024,total_value_2024
Tons_2024,0.1,10583744,9399981,1154308,29455,10554289,88.81527179795732,10.906424040490775,0.2783041615519045,99.7216958384481,0.997216958384481,0.9844524109288536,0.9971881618387654,0.9823519766158383,0.9971625752992653,3599891.168959258,574317.9333157495,22518.91452847162,4196728.016803479,1501.0555941065952,107.73226400912951,2.4387043274004787,1611.2265624431252
Tons_2024,0.2,10583744,8903166,1647400,33178,10550566,84.12113898446523,15.565380266189354,0.3134807493454112,99.6865192506546,0.9968651925065459,0.9825703586837589,0.9968343669531148,0.9799722635552611,0.996807285771923,3247568.556692891,925075.6078469126,24083.852264597546,4196728.016804401,1325.4786676431906,283.0205362331453,2.727358566584897,1611.2265624429208
Tons_2024,0.3,10583744,8321077,2202193,60474,10523270,78.6212988522776,20.80731544527154,0.5713857024508529,99.42861429754915,0.9942861429754914,0.9731915856403435,0.9942100499229756,0.9696157997730998,0.9941672213411036,3046444.3244035137,1107718.1414106705,42565.550990215605,4196728.0168044,1259.98700189093,345.8070454027453,5.432515149469185,1611.2265624431445
Tons_2024,0.4,10583744,8058890,2436150,88704,10495040,76.14403749750561,23.01784699251985,0.8381155099745421,99.16188449002546,0.9916188449002545,0.9695357785848102,0.991543051088708,0.9655468416598171,0.9915011804398789,2950157.8866097317,1194272.2746830108,52297.85551160972,4196728.016804352,1233.6900053488039,368.2322539538665,9.304303140504812,1611.2265624431752
Tons_2024,0.5,10583744,7758981,2692339,132424,10451320,73.31036162628273,25.4384365305888,1.2512018431284808,98.74879815687152,0.9874879815687152,0.9627787558086962,0.987406200930702,0.9579688975113348,0.9873569195192763,2855726.0442954707,1161805.3409136806,179196.6315952891,4196728.016804441,1143.6485967024723,452.97998979105574,14.597975949357837,1611.2265624428858
Tons_2024,0.6,10583744,7608634,2796480,178630,10405114,71.88981517315611,26.42240779822339,1.6877770286204956,98.3122229713795,0.983122229713795,0.9568526730763963,0.9830324250885245,0.951809900157998,0.9829788852986433,2680092.9954211134,1311213.179492507,205421.84189093957,4196728.01680456,1056.411842173486,528.263418014358,26.55130225488937,1611.2265624427334
Tons_2024,0.7,10583744,7371671,2973955,238118,10345626,69.65088157839041,28.099271864474424,2.249846557135169,97.75015344286483,0.9775015344286483,0.9501407512062499,0.9774106718497205,0.9445728085694721,0.9773560621996739,2544754.706495649,1415374.6288029582,236598.68150668993,4196728.016805297,1004.0099171377801,571.5954068385074,35.62123846735404,1611.2265624436416
Tons_2024,0.8,10583744,7054255,3274230,255259,10328485,66.65179165331286,30.936405869227375,2.411802477459772,97.58819752254023,0.9758819752254023,0.9457215905633272,0.9757843104417567,0.9392036254648325,0.9757245154373806,2460886.0248060697,1496515.2470448797,239326.7449543859,4196728.016805335,954.5353309936104,620.3075636428106,36.38366780729889,1611.22656244372
Tons_2024,0.9,10583744,6967752,3316358,299634,10284110,65.83447218678002,31.334450266370766,2.8310775468492055,97.1689224531508,0.971689224531508,0.938943427419201,0.9715797628891586,0.9318051649763186,0.9715055233108171,2449725.8036028263,1491762.1424731703,255240.0707295508,4196728.016805547,951.3830588233869,618.7016151521683,41.14188846811663,1611.2265624436718
Tons_2024,1.0,10583744,6836417,3407387,339940,10243804,64.59355970817133,32.19453342786825,3.2119068639604285,96.78809313603958,0.9678809313603958,0.9343202095368093,0.9677712562074321,0.9268321699873192,0.9676965573556195,2423073.433775807,1506174.4003201032,267480.18270978227,4196728.016805693,943.0888508070104,624.6309788153053,43.506732821362306,1611.226562443678
Value_2024,0.1,10583744,9365750,1199605,18389,10565355,88.49184182837378,11.334410582871241,0.17374758875498122,99.82625241124502,0.9982625241124502,0.9901710953744595,0.9982398060999336,0.988258100073577,0.9982216841140771,3766140.196371731,422428.48524790525,8159.335183884802,4196728.016803521,1309.722039128462,297.78651120385746,3.71801211118137,1611.2265624435008
Value_2024,0.2,10583744,9281939,1260940,40865,10542879,87.69995759534622,11.913931402724783,0.38611100192899606,99.613888998071,0.99613888998071,0.9863809484683267,0.9961029184851595,0.9843597725910229,0.9960695278547113,3659748.504269619,519843.77700366575,17135.73553036752,4196728.016803652,1272.2386976892724,332.0084121720274,6.979452582259998,1611.2265624435597
